GO_x,GO_y
2038.85,12442.4
2037.2,12399.2
2035.56,12314.4
2033.92,12286.9
2032.27,12199.7
2030.63,12210.4
2028.99,12157.5
2027.34,12087.9
2025.7,12010.4
2024.05,11967.4
2022.4,11882.9
2020.76,11873.6
2019.11,11801.2
2017.46,11755.2
2015.82,11700.6
2014.17,11654.6
2012.52,11593.4
2010.87,11585.3
2009.22,11553.3
2007.57,11490.3
2005.92,11497.7
2004.27,11472.4
2002.62,11449.8
2000.97,11346.6
1999.31,11267.8
1997.66,11205.4
1996.01,11159.7
1994.36,11117.8
1992.7,11051.7
1991.05,10987.5
1989.39,10955.7
1987.74,10873.4
1986.09,10801.7
1984.43,10719.3
1982.77,10719.2
1981.12,10676
1979.46,10610.8
1977.8,10548.3
1976.15,10528.6
1974.49,10380.6
1972.83,10355.4
1971.17,10347.6
1969.51,10284.4
1967.85,10231.9
1966.19,10228.6
1964.53,10157.3
1962.87,10110.1
1961.21,10083.6
1959.55,10020.4
1957.88,9985.58
1956.22,9944.74
1954.56,9900.05
1952.9,9864.68
1951.23,9839.63
1949.57,9793.9
1947.9,9738.47
1946.24,9733.68
1944.57,9693
1942.91,9640.63
1941.24,9618.05
1939.57,9545.84
1937.91,9519.58
1936.24,9455.79
1934.57,9445.9
1932.9,9368.53
1931.23,9335.32
1929.56,9307.84
1927.89,9218.53
1926.23,9190.47
1924.55,9104.16
1922.88,9122.42
1921.21,9001.21
1919.54,8968.68
1917.87,8928.32
1916.2,8848.68
1914.52,8794.26
1912.85,8804.16
1911.18,8771.47
1909.5,8682.84
1907.83,8644.21
1906.15,8624.63
1904.48,8570.84
1902.8,8501.21
1901.13,8497.32
1899.45,8437.32
1897.77,8396.63
1896.09,8316.47
1894.42,8296.11
1892.74,8276.63
1891.06,8233.16
1889.38,8164.58
1887.7,8156.47
1886.02,8046.79
1884.34,7977.58
1882.66,7989.37
1880.98,7923.84
1879.3,7898.74
1877.61,7855.53
1875.93,7822
1874.25,7824.42
1872.56,7752.16
1870.88,7750
1869.2,7696.79
1867.51,7663.37
1865.83,7586
1864.14,7594.84
1862.46,7532.74
1860.77,7495
1859.08,7440.16
1857.4,7454
1855.71,7438.95
1854.02,7369.74
1852.33,7358.74
1850.64,7320.47
1848.95,7253.42
1847.26,7249.37
1845.57,7210.89
1843.88,7187.84
1842.19,7124.16
1840.5,7074.89
1838.81,7087.95
1837.12,7083.63
1835.43,7045.63
1833.73,6976.37
1832.04,6938.79
1830.34,6918.63
1828.65,6901.58
1826.96,6860.05
1825.26,6793.42
1823.57,6780.63
1821.87,6730.05
1820.17,6676.79
1818.48,6615.32
1816.78,6613.74
1815.08,6593.79
1813.38,6543.32
1811.69,6524.95
1809.99,6495.11
1808.29,6507
1806.59,6463.21
1804.89,6415.63
1803.19,6433
1801.49,6430.11
1799.78,6438.16
1798.08,6410.79
1796.38,6408.05
1794.68,6387.63
1792.97,6325.84
1791.27,6343.32
1789.57,6302.95
1787.86,6254.53
1786.16,6263.74
1784.45,6249.11
1782.75,6212.42
1781.04,6212.05
1779.34,6208.74
1777.63,6186.63
1775.92,6186.68
1774.21,6151.79
1772.51,6163.21
1770.8,6133.89
1769.09,6112.74
1767.38,6106.74
1765.67,6074.79
1763.96,6052.95
1762.25,6023.58
1760.54,5969.84
1758.82,5951.1
1757.11,5918.47
1755.4,5941.53
1753.69,5876.68
1751.97,5821.37
1750.26,5806.69
1748.55,5782.42
1746.83,5744.26
1745.12,5708.58
1743.4,5668.26
1741.69,5651.63
1739.97,5576.74
1738.25,5535.89
1736.54,5536.84
1734.82,5502.89
1733.1,5446.26
1731.38,5408.63
1729.66,5396.42
1727.94,5388.26
1726.22,5371.21
1724.5,5333.05
